Namespace(ANNEAL=0.5, BATCH=32, EMBED=20, EMPTY_CUDA_MEMORY=False, ENC_METHOD='pe', FIX_STORY=50, LR=0.01, LS=False, PRINT_EVERY=1, ROOT='./data/QA_bAbI_tasks/en-valid-10k/', SAVE_BEST=True, SAVE_MODEL=True, SAVE_PATH='./saved_models/adjacent/pe_te/task6.model', STEP=100, TASK=6, TEMPROAL=True, THRES=5, USE_CUDA=True, W_STYLE='adjacent')
----------------------------------------
[1/100] (train) loss 25.3293 | (valid) loss 22.4934
[2/100] (train) loss 22.7710 | (valid) loss 22.3582
[3/100] (train) loss 22.5882 | (valid) loss 22.2969
[4/100] (train) loss 22.5009 | (valid) loss 22.2588
[5/100] (train) loss 22.4466 | (valid) loss 22.2319
[6/100] (train) loss 22.4089 | (valid) loss 22.2116
[7/100] (train) loss 22.3807 | (valid) loss 22.1956
[8/100] (train) loss 22.3585 | (valid) loss 22.1826
[9/100] (train) loss 22.3403 | (valid) loss 22.1718
[10/100] (train) loss 22.3251 | (valid) loss 22.1627
[11/100] (train) loss 22.3121 | (valid) loss 22.1548
[12/100] (train) loss 22.3008 | (valid) loss 22.1478
[13/100] (train) loss 22.2907 | (valid) loss 22.1416
[14/100] (train) loss 22.2817 | (valid) loss 22.1359
[15/100] (train) loss 22.2735 | (valid) loss 22.1306
[16/100] (train) loss 22.2659 | (valid) loss 22.1256
[17/100] (train) loss 22.2587 | (valid) loss 22.1207
[18/100] (train) loss 22.2519 | (valid) loss 22.1158
[19/100] (train) loss 22.2454 | (valid) loss 22.1109
[20/100] (train) loss 22.2389 | (valid) loss 22.1058
[21/100] (train) loss 22.2325 | (valid) loss 22.1004
[22/100] (train) loss 22.2260 | (valid) loss 22.0947
[23/100] (train) loss 22.2194 | (valid) loss 22.0885
[24/100] (train) loss 22.2123 | (valid) loss 22.0817
[25/100] (train) loss 22.2048 | (valid) loss 22.0739
[26/100] (train) loss 22.1129 | (valid) loss 22.0330
[27/100] (train) loss 22.1037 | (valid) loss 22.0235
[28/100] (train) loss 22.0966 | (valid) loss 22.0138
[29/100] (train) loss 22.0885 | (valid) loss 22.0026
[30/100] (train) loss 22.0787 | (valid) loss 21.9892
[31/100] (train) loss 22.0665 | (valid) loss 21.9727
[32/100] (train) loss 22.0507 | (valid) loss 21.9516
[33/100] (train) loss 22.0295 | (valid) loss 21.9235
[34/100] (train) loss 21.9997 | (valid) loss 21.8846
[35/100] (train) loss 21.9559 | (valid) loss 21.8279
[36/100] (train) loss 21.8882 | (valid) loss 21.7403
[37/100] (train) loss 21.7773 | (valid) loss 21.5931
[38/100] (train) loss 21.5766 | (valid) loss 21.3084
