Namespace(ANNEAL=0.5, BATCH=32, EMBED=20, EMPTY_CUDA_MEMORY=False, ENC_METHOD='pe', FIX_STORY=50, LR=0.01, LS=False, PRINT_EVERY=1, ROOT='./data/QA_bAbI_tasks/en-valid-10k/', SAVE_BEST=True, SAVE_MODEL=True, SAVE_PATH='./saved_models/adjacent/pe_te/task7.model', STEP=100, TASK=7, TEMPROAL=True, THRES=5, USE_CUDA=True, W_STYLE='adjacent')
----------------------------------------
[1/100] (train) loss 29.5131 | (valid) loss 23.4371
[2/100] (train) loss 22.0312 | (valid) loss 18.8329
[3/100] (train) loss 18.9556 | (valid) loss 17.1025
[4/100] (train) loss 17.6651 | (valid) loss 16.2188
[5/100] (train) loss 16.7853 | (valid) loss 15.5144
[6/100] (train) loss 15.9672 | (valid) loss 14.7330
[7/100] (train) loss 15.0594 | (valid) loss 13.7666
[8/100] (train) loss 14.0286 | (valid) loss 12.7702
[9/100] (train) loss 12.9899 | (valid) loss 11.9127
[10/100] (train) loss 12.0452 | (valid) loss 11.0474
[11/100] (train) loss 11.1676 | (valid) loss 10.3681
[12/100] (train) loss 10.3749 | (valid) loss 9.7883
[13/100] (train) loss 9.6711 | (valid) loss 9.2472
[14/100] (train) loss 9.0073 | (valid) loss 8.7080
[15/100] (train) loss 8.4117 | (valid) loss 8.1820
[16/100] (train) loss 7.7471 | (valid) loss 7.7603
[17/100] (train) loss 7.1226 | (valid) loss 7.4912
[18/100] (train) loss 6.5662 | (valid) loss 7.1509
[19/100] (train) loss 5.9947 | (valid) loss 6.9456
[20/100] (train) loss 5.4670 | (valid) loss 6.2184
[21/100] (train) loss 5.0093 | (valid) loss 5.9545
[22/100] (train) loss 4.8119 | (valid) loss 5.5751
[23/100] (train) loss 4.3882 | (valid) loss 5.4185
[24/100] (train) loss 4.0564 | (valid) loss 4.7194
[25/100] (train) loss 3.8769 | (valid) loss 4.3481
[26/100] (train) loss 2.8096 | (valid) loss 2.4850
[27/100] (train) loss 2.2994 | (valid) loss 2.2293
[28/100] (train) loss 2.0892 | (valid) loss 1.9331
[29/100] (train) loss 1.9461 | (valid) loss 1.7965
[30/100] (train) loss 1.8304 | (valid) loss 1.6843
[31/100] (train) loss 1.7271 | (valid) loss 1.5897
[32/100] (train) loss 1.6108 | (valid) loss 1.4676
[33/100] (train) loss 1.5212 | (valid) loss 1.3950
[34/100] (train) loss 1.4662 | (valid) loss 1.2985
[35/100] (train) loss 1.3688 | (valid) loss 1.2565
[36/100] (train) loss 1.3058 | (valid) loss 1.1952
[37/100] (train) loss 1.2608 | (valid) loss 1.1263
[38/100] (train) loss 1.1882 | (valid) loss 1.0545
[39/100] (train) loss 1.1275 | (valid) loss 1.0091
[40/100] (train) loss 1.0885 | (valid) loss 0.9870
[41/100] (train) loss 1.0360 | (valid) loss 0.9264
[42/100] (train) loss 0.9768 | (valid) loss 0.8967
[43/100] (train) loss 0.9947 | (valid) loss 0.8796
[44/100] (train) loss 0.9481 | (valid) loss 0.9316
[45/100] (train) loss 0.9070 | (valid) loss 0.8902
[46/100] (train) loss 0.8763 | (valid) loss 0.7870
[47/100] (train) loss 0.8175 | (valid) loss 0.8022
[48/100] (train) loss 0.8197 | (valid) loss 0.7676
[49/100] (train) loss 0.7743 | (valid) loss 0.7561
[50/100] (train) loss 0.7671 | (valid) loss 0.7098
[51/100] (train) loss 0.6380 | (valid) loss 0.5744
[52/100] (train) loss 0.6031 | (valid) loss 0.5522
[53/100] (train) loss 0.5700 | (valid) loss 0.5319
[54/100] (train) loss 0.5493 | (valid) loss 0.5141
[55/100] (train) loss 0.5339 | (valid) loss 0.5000
[56/100] (train) loss 0.5202 | (valid) loss 0.4878
[57/100] (train) loss 0.5081 | (valid) loss 0.4766
[58/100] (train) loss 0.4967 | (valid) loss 0.4664
[59/100] (train) loss 0.4862 | (valid) loss 0.4568
[60/100] (train) loss 0.4765 | (valid) loss 0.4480
[61/100] (train) loss 0.4668 | (valid) loss 0.4378
[62/100] (train) loss 0.4571 | (valid) loss 0.4263
[63/100] (train) loss 0.4484 | (valid) loss 0.4166
[64/100] (train) loss 0.4403 | (valid) loss 0.4089
[65/100] (train) loss 0.4327 | (valid) loss 0.4022
[66/100] (train) loss 0.4256 | (valid) loss 0.3959
[67/100] (train) loss 0.4188 | (valid) loss 0.3897
[68/100] (train) loss 0.4122 | (valid) loss 0.3836
[69/100] (train) loss 0.4058 | (valid) loss 0.3778
[70/100] (train) loss 0.3996 | (valid) loss 0.3721
[71/100] (train) loss 0.3936 | (valid) loss 0.3667
[72/100] (train) loss 0.3878 | (valid) loss 0.3613
[73/100] (train) loss 0.3822 | (valid) loss 0.3559
[74/100] (train) loss 0.3767 | (valid) loss 0.3506
[75/100] (train) loss 0.3713 | (valid) loss 0.3454
[76/100] (train) loss 0.3526 | (valid) loss 0.3369
[77/100] (train) loss 0.3459 | (valid) loss 0.3327
[78/100] (train) loss 0.3423 | (valid) loss 0.3297
[79/100] (train) loss 0.3393 | (valid) loss 0.3269
[80/100] (train) loss 0.3366 | (valid) loss 0.3243
[81/100] (train) loss 0.3340 | (valid) loss 0.3218
[82/100] (train) loss 0.3316 | (valid) loss 0.3194
[83/100] (train) loss 0.3292 | (valid) loss 0.3170
[84/100] (train) loss 0.3269 | (valid) loss 0.3147
[85/100] (train) loss 0.3246 | (valid) loss 0.3125
[86/100] (train) loss 0.3224 | (valid) loss 0.3103
[87/100] (train) loss 0.3202 | (valid) loss 0.3081
[88/100] (train) loss 0.3181 | (valid) loss 0.3060
[89/100] (train) loss 0.3160 | (valid) loss 0.3040
[90/100] (train) loss 0.3139 | (valid) loss 0.3019
[91/100] (train) loss 0.3119 | (valid) loss 0.2999
[92/100] (train) loss 0.3098 | (valid) loss 0.2979
[93/100] (train) loss 0.3079 | (valid) loss 0.2960
[94/100] (train) loss 0.3059 | (valid) loss 0.2941
[95/100] (train) loss 0.3040 | (valid) loss 0.2922
[96/100] (train) loss 0.3021 | (valid) loss 0.2903
[97/100] (train) loss 0.3002 | (valid) loss 0.2885
[98/100] (train) loss 0.2984 | (valid) loss 0.2867
[99/100] (train) loss 0.2966 | (valid) loss 0.2849
[100/100] (train) loss 0.2948 | (valid) loss 0.2831

Training Excution time with validation: 0 h 8 m 18.9998 s
