Namespace(ANNEAL=0.5, BATCH=32, EMBED=20, EMPTY_CUDA_MEMORY=False, ENC_METHOD='pe', FIX_STORY=50, LR=0.01, LS=False, PRINT_EVERY=1, ROOT='./data/QA_bAbI_tasks/en-valid-10k/', SAVE_BEST=True, SAVE_MODEL=True, SAVE_PATH='./saved_models/adjacent/pe_te/task19.model', STEP=100, TASK=19, TEMPROAL=True, THRES=5, USE_CUDA=True, W_STYLE='adjacent')
----------------------------------------
[1/100] (train) loss 82.5919 | (valid) loss 80.6560
[2/100] (train) loss 80.4026 | (valid) loss 80.1077
[3/100] (train) loss 79.9390 | (valid) loss 79.4702
[4/100] (train) loss 79.4220 | (valid) loss 78.9723
[5/100] (train) loss 79.1049 | (valid) loss 78.6954
[6/100] (train) loss 78.8998 | (valid) loss 78.5135
[7/100] (train) loss 78.7435 | (valid) loss 78.3693
[8/100] (train) loss 78.6080 | (valid) loss 78.2336
[9/100] (train) loss 78.4758 | (valid) loss 78.0856
[10/100] (train) loss 78.3304 | (valid) loss 77.9046
[11/100] (train) loss 78.1509 | (valid) loss 77.6585
[12/100] (train) loss 77.8979 | (valid) loss 77.2787
[13/100] (train) loss 77.4731 | (valid) loss 76.5927
[14/100] (train) loss 76.5515 | (valid) loss 75.1028
[15/100] (train) loss 74.0537 | (valid) loss 70.9850
[16/100] (train) loss 70.4016 | (valid) loss 67.5916
[17/100] (train) loss 68.2890 | (valid) loss 66.4157
[18/100] (train) loss 67.0650 | (valid) loss 66.1424
[19/100] (train) loss 66.1916 | (valid) loss 65.6051
[20/100] (train) loss 65.3686 | (valid) loss 64.9746
[21/100] (train) loss 64.4287 | (valid) loss 64.2773
[22/100] (train) loss 63.5261 | (valid) loss 63.4158
[23/100] (train) loss 62.6236 | (valid) loss 62.3723
[24/100] (train) loss 61.7725 | (valid) loss 61.5207
[25/100] (train) loss 61.0397 | (valid) loss 61.1372
[26/100] (train) loss 57.0549 | (valid) loss 56.7889
[27/100] (train) loss 56.2691 | (valid) loss 56.0957
[28/100] (train) loss 55.7607 | (valid) loss 55.5106
[29/100] (train) loss 55.3370 | (valid) loss 55.0110
[30/100] (train) loss 54.9601 | (valid) loss 54.5845
[31/100] (train) loss 54.6112 | (valid) loss 54.2366
[32/100] (train) loss 54.2844 | (valid) loss 53.9664
[33/100] (train) loss 53.9784 | (valid) loss 53.7726
[34/100] (train) loss 53.6905 | (valid) loss 53.5862
[35/100] (train) loss 53.4183 | (valid) loss 53.3799
[36/100] (train) loss 53.1605 | (valid) loss 53.1883
[37/100] (train) loss 52.9168 | (valid) loss 53.0103
[38/100] (train) loss 52.6878 | (valid) loss 52.8459
[39/100] (train) loss 52.4729 | (valid) loss 52.6984
[40/100] (train) loss 52.2728 | (valid) loss 52.5717
[41/100] (train) loss 52.0851 | (valid) loss 52.4621
[42/100] (train) loss 51.9075 | (valid) loss 52.3553
[43/100] (train) loss 51.7385 | (valid) loss 52.2409
[44/100] (train) loss 51.5784 | (valid) loss 52.1224
[45/100] (train) loss 51.4261 | (valid) loss 52.0115
[46/100] (train) loss 51.2799 | (valid) loss 51.9157
[47/100] (train) loss 51.1388 | (valid) loss 51.8325
[48/100] (train) loss 51.0028 | (valid) loss 51.7583
[49/100] (train) loss 50.8715 | (valid) loss 51.6815
[50/100] (train) loss 50.7425 | (valid) loss 51.5959
[51/100] (train) loss 48.3478 | (valid) loss 48.1099
[52/100] (train) loss 47.9877 | (valid) loss 47.9551
[53/100] (train) loss 47.8137 | (valid) loss 47.8360
[54/100] (train) loss 47.6753 | (valid) loss 47.7290
[55/100] (train) loss 47.5554 | (valid) loss 47.6258
[56/100] (train) loss 47.4469 | (valid) loss 47.5238
[57/100] (train) loss 47.3457 | (valid) loss 47.4229
[58/100] (train) loss 47.2491 | (valid) loss 47.3247
[59/100] (train) loss 47.1556 | (valid) loss 47.2303
[60/100] (train) loss 47.0648 | (valid) loss 47.1404
[61/100] (train) loss 46.9763 | (valid) loss 47.0550
[62/100] (train) loss 46.8903 | (valid) loss 46.9742
[63/100] (train) loss 46.8067 | (valid) loss 46.8976
[64/100] (train) loss 46.7255 | (valid) loss 46.8251
[65/100] (train) loss 46.6463 | (valid) loss 46.7561
[66/100] (train) loss 46.5691 | (valid) loss 46.6904
[67/100] (train) loss 46.4936 | (valid) loss 46.6277
[68/100] (train) loss 46.4198 | (valid) loss 46.5676
[69/100] (train) loss 46.3476 | (valid) loss 46.5101
[70/100] (train) loss 46.2771 | (valid) loss 46.4548
[71/100] (train) loss 46.2081 | (valid) loss 46.4016
[72/100] (train) loss 46.1406 | (valid) loss 46.3502
