Namespace(ANNEAL=0.5, BATCH=32, EMBED=20, EMPTY_CUDA_MEMORY=False, ENC_METHOD='bow', FIX_STORY=50, LR=0.01, LS=False, PRINT_EVERY=1, ROOT='./data/QA_bAbI_tasks/en-valid-10k/', SAVE_BEST=True, SAVE_MODEL=True, SAVE_PATH='./saved_models/rnnlike/bow/task14.model', STEP=100, TASK=14, TEMPROAL=False, THRES=5, USE_CUDA=True, W_STYLE='rnnlike')
----------------------------------------
[1/100] (train) loss 58.2492 | (valid) loss 48.3665
[2/100] (train) loss 32.6168 | (valid) loss 19.3484
[3/100] (train) loss 12.3085 | (valid) loss 0.6988
[4/100] (train) loss 0.2359 | (valid) loss 0.0717
[5/100] (train) loss 0.0470 | (valid) loss 0.0343
[6/100] (train) loss 0.0291 | (valid) loss 0.0246
[7/100] (train) loss 0.0218 | (valid) loss 0.0192
[8/100] (train) loss 0.0175 | (valid) loss 0.0158
[9/100] (train) loss 0.0146 | (valid) loss 0.0134
[10/100] (train) loss 0.0125 | (valid) loss 0.0116
[11/100] (train) loss 0.0109 | (valid) loss 0.0102
[12/100] (train) loss 0.0097 | (valid) loss 0.0091
[13/100] (train) loss 0.0087 | (valid) loss 0.0082
[14/100] (train) loss 0.0079 | (valid) loss 0.0075
[15/100] (train) loss 0.0072 | (valid) loss 0.0069
[16/100] (train) loss 0.0066 | (valid) loss 0.0063
[17/100] (train) loss 0.0061 | (valid) loss 0.0059
[18/100] (train) loss 0.0057 | (valid) loss 0.0055
[19/100] (train) loss 0.0053 | (valid) loss 0.0052
[20/100] (train) loss 0.0050 | (valid) loss 0.0048
[21/100] (train) loss 0.0047 | (valid) loss 0.0046
[22/100] (train) loss 0.0045 | (valid) loss 0.0043
[23/100] (train) loss 0.0042 | (valid) loss 0.0041
[24/100] (train) loss 0.0040 | (valid) loss 0.0039
[25/100] (train) loss 0.0038 | (valid) loss 0.0037
[26/100] (train) loss 0.0037 | (valid) loss 0.0036
[27/100] (train) loss 0.0036 | (valid) loss 0.0036
[28/100] (train) loss 0.0035 | (valid) loss 0.0035
[29/100] (train) loss 0.0034 | (valid) loss 0.0034
[30/100] (train) loss 0.0034 | (valid) loss 0.0033
[31/100] (train) loss 0.0033 | (valid) loss 0.0033
[32/100] (train) loss 0.0032 | (valid) loss 0.0032
[33/100] (train) loss 0.0032 | (valid) loss 0.0031
[34/100] (train) loss 0.0031 | (valid) loss 0.0031
[35/100] (train) loss 0.0030 | (valid) loss 0.0030
[36/100] (train) loss 0.0030 | (valid) loss 0.0030
[37/100] (train) loss 0.0029 | (valid) loss 0.0029
[38/100] (train) loss 0.0029 | (valid) loss 0.0029
[39/100] (train) loss 0.0028 | (valid) loss 0.0028
[40/100] (train) loss 0.0028 | (valid) loss 0.0028
[41/100] (train) loss 0.0027 | (valid) loss 0.0027
[42/100] (train) loss 0.0027 | (valid) loss 0.0027
[43/100] (train) loss 0.0026 | (valid) loss 0.0026
[44/100] (train) loss 0.0026 | (valid) loss 0.0026
[45/100] (train) loss 0.0026 | (valid) loss 0.0025
[46/100] (train) loss 0.0025 | (valid) loss 0.0025
[47/100] (train) loss 0.0025 | (valid) loss 0.0024
[48/100] (train) loss 0.0024 | (valid) loss 0.0024
[49/100] (train) loss 0.0024 | (valid) loss 0.0024
[50/100] (train) loss 0.0024 | (valid) loss 0.0023
[51/100] (train) loss 0.0023 | (valid) loss 0.0023
[52/100] (train) loss 0.0023 | (valid) loss 0.0023
[53/100] (train) loss 0.0023 | (valid) loss 0.0023
[54/100] (train) loss 0.0023 | (valid) loss 0.0023
[55/100] (train) loss 0.0023 | (valid) loss 0.0023
[56/100] (train) loss 0.0022 | (valid) loss 0.0022
[57/100] (train) loss 0.0022 | (valid) loss 0.0022
[58/100] (train) loss 0.0022 | (valid) loss 0.0022
[59/100] (train) loss 0.0022 | (valid) loss 0.0022
[60/100] (train) loss 0.0022 | (valid) loss 0.0022
[61/100] (train) loss 0.0022 | (valid) loss 0.0022
[62/100] (train) loss 0.0022 | (valid) loss 0.0021
[63/100] (train) loss 0.0021 | (valid) loss 0.0021
[64/100] (train) loss 0.0021 | (valid) loss 0.0021
[65/100] (train) loss 0.0021 | (valid) loss 0.0021
[66/100] (train) loss 0.0021 | (valid) loss 0.0021
