Namespace(ANNEAL=0.5, BATCH=32, EMBED=20, EMPTY_CUDA_MEMORY=False, ENC_METHOD='bow', FIX_STORY=50, LR=0.01, LS=False, PRINT_EVERY=1, ROOT='./data/QA_bAbI_tasks/en-valid-10k/', SAVE_BEST=True, SAVE_MODEL=True, SAVE_PATH='./saved_models/rnnlike/bow/task17.model', STEP=100, TASK=17, TEMPROAL=False, THRES=5, USE_CUDA=True, W_STYLE='rnnlike')
----------------------------------------
[1/100] (train) loss 24.9623 | (valid) loss 22.6279
[2/100] (train) loss 22.7438 | (valid) loss 22.5100
[3/100] (train) loss 22.5658 | (valid) loss 22.4083
[4/100] (train) loss 22.4822 | (valid) loss 22.3394
[5/100] (train) loss 22.4312 | (valid) loss 22.2928
[6/100] (train) loss 22.3960 | (valid) loss 22.2606
[7/100] (train) loss 22.3701 | (valid) loss 22.2378
[8/100] (train) loss 22.3502 | (valid) loss 22.2214
[9/100] (train) loss 22.3342 | (valid) loss 22.2094
[10/100] (train) loss 22.3211 | (valid) loss 22.2005
[11/100] (train) loss 22.3102 | (valid) loss 22.1939
[12/100] (train) loss 22.3008 | (valid) loss 22.1888
[13/100] (train) loss 22.2926 | (valid) loss 22.1850
[14/100] (train) loss 22.2855 | (valid) loss 22.1821
[15/100] (train) loss 22.2791 | (valid) loss 22.1798
[16/100] (train) loss 22.2733 | (valid) loss 22.1779
[17/100] (train) loss 22.2681 | (valid) loss 22.1764
[18/100] (train) loss 22.2634 | (valid) loss 22.1751
[19/100] (train) loss 22.2590 | (valid) loss 22.1739
[20/100] (train) loss 22.2549 | (valid) loss 22.1728
[21/100] (train) loss 22.2511 | (valid) loss 22.1717
[22/100] (train) loss 22.2475 | (valid) loss 22.1706
[23/100] (train) loss 22.2441 | (valid) loss 22.1694
[24/100] (train) loss 22.2408 | (valid) loss 22.1682
[25/100] (train) loss 22.2376 | (valid) loss 22.1668
[26/100] (train) loss 22.1727 | (valid) loss 22.1977
[27/100] (train) loss 22.1677 | (valid) loss 22.1901
[28/100] (train) loss 22.1657 | (valid) loss 22.1839
[29/100] (train) loss 22.1638 | (valid) loss 22.1779
[30/100] (train) loss 22.1617 | (valid) loss 22.1716
[31/100] (train) loss 22.1594 | (valid) loss 22.1649
[32/100] (train) loss 22.1568 | (valid) loss 22.1574
[33/100] (train) loss 22.1537 | (valid) loss 22.1489
[34/100] (train) loss 22.1499 | (valid) loss 22.1388
[35/100] (train) loss 22.1452 | (valid) loss 22.1265
[36/100] (train) loss 22.1389 | (valid) loss 22.1106
[37/100] (train) loss 22.1301 | (valid) loss 22.0886
[38/100] (train) loss 22.1167 | (valid) loss 22.0551
[39/100] (train) loss 22.0930 | (valid) loss 21.9958
[40/100] (train) loss 22.0437 | (valid) loss 21.8738
[41/100] (train) loss 21.9309 | (valid) loss 21.6331
[42/100] (train) loss 21.7143 | (valid) loss 21.3101
[43/100] (train) loss 21.4887 | (valid) loss 21.0991
[44/100] (train) loss 21.3350 | (valid) loss 20.9697
[45/100] (train) loss 21.2214 | (valid) loss 20.8800
[46/100] (train) loss 21.1254 | (valid) loss 20.8095
[47/100] (train) loss 21.0397 | (valid) loss 20.7480
[48/100] (train) loss 20.9624 | (valid) loss 20.6915
[49/100] (train) loss 20.8928 | (valid) loss 20.6385
[50/100] (train) loss 20.8307 | (valid) loss 20.5884
