Namespace(ANNEAL=0.5, BATCH=32, EMBED=20, EMPTY_CUDA_MEMORY=False, ENC_METHOD='pe', FIX_STORY=50, LR=0.01, LS=False, PRINT_EVERY=1, ROOT='./data/QA_bAbI_tasks/en-valid-10k/', SAVE_BEST=True, SAVE_MODEL=True, SAVE_PATH='./saved_models/rnnlike/pe_te/task3.model', STEP=100, TASK=3, TEMPROAL=True, THRES=5, USE_CUDA=True, W_STYLE='rnnlike')
----------------------------------------
[1/100] (train) loss 61.7020 | (valid) loss 58.1497
[2/100] (train) loss 58.3654 | (valid) loss 57.4896
[3/100] (train) loss 57.6971 | (valid) loss 57.1828
[4/100] (train) loss 57.1853 | (valid) loss 56.3929
[5/100] (train) loss 56.4651 | (valid) loss 55.3992
[6/100] (train) loss 55.6597 | (valid) loss 54.7526
[7/100] (train) loss 55.0689 | (valid) loss 54.1461
[8/100] (train) loss 54.3672 | (valid) loss 53.6909
[9/100] (train) loss 53.7238 | (valid) loss 53.6036
[10/100] (train) loss 53.1754 | (valid) loss 53.5303
[11/100] (train) loss 52.5528 | (valid) loss 53.0511
[12/100] (train) loss 51.6004 | (valid) loss 51.2992
[13/100] (train) loss 50.1400 | (valid) loss 48.9514
[14/100] (train) loss 49.1316 | (valid) loss 47.9584
[15/100] (train) loss 48.5241 | (valid) loss 47.4394
[16/100] (train) loss 48.0907 | (valid) loss 47.0809
[17/100] (train) loss 47.7444 | (valid) loss 46.7889
[18/100] (train) loss 47.4434 | (valid) loss 46.5342
[19/100] (train) loss 47.1640 | (valid) loss 46.3126
[20/100] (train) loss 46.8952 | (valid) loss 46.1284
[21/100] (train) loss 46.6359 | (valid) loss 45.9876
[22/100] (train) loss 46.3836 | (valid) loss 45.8914
[23/100] (train) loss 46.1378 | (valid) loss 45.8340
[24/100] (train) loss 45.9010 | (valid) loss 45.7966
[25/100] (train) loss 45.6735 | (valid) loss 45.7537
[26/100] (train) loss 43.0979 | (valid) loss 42.9065
[27/100] (train) loss 42.7463 | (valid) loss 42.7250
