Namespace(ANNEAL=0.5, BATCH=32, EMBED=20, EMPTY_CUDA_MEMORY=False, ENC_METHOD='pe', FIX_STORY=50, LR=0.01, LS=False, PRINT_EVERY=1, ROOT='./data/QA_bAbI_tasks/en-valid-10k/', SAVE_BEST=True, SAVE_MODEL=True, SAVE_PATH='./saved_models/rnnlike/pe_te/task12.model', STEP=100, TASK=12, TEMPROAL=True, THRES=5, USE_CUDA=True, W_STYLE='rnnlike')
----------------------------------------
[1/100] (train) loss 55.9137 | (valid) loss 36.0301
[2/100] (train) loss 27.9867 | (valid) loss 12.1795
[3/100] (train) loss 2.2416 | (valid) loss 0.7939
[4/100] (train) loss 0.3177 | (valid) loss 0.0153
[5/100] (train) loss 0.0117 | (valid) loss 0.0089
[6/100] (train) loss 0.0082 | (valid) loss 0.0070
[7/100] (train) loss 0.0066 | (valid) loss 0.0058
[8/100] (train) loss 0.0055 | (valid) loss 0.0050
[9/100] (train) loss 0.0047 | (valid) loss 0.0044
[10/100] (train) loss 0.0042 | (valid) loss 0.0039
[11/100] (train) loss 0.0037 | (valid) loss 0.0035
[12/100] (train) loss 0.0034 | (valid) loss 0.0032
[13/100] (train) loss 0.0031 | (valid) loss 0.0029
[14/100] (train) loss 0.0028 | (valid) loss 0.0027
[15/100] (train) loss 0.0026 | (valid) loss 0.0025
[16/100] (train) loss 0.0024 | (valid) loss 0.0023
[17/100] (train) loss 0.0022 | (valid) loss 0.0021
[18/100] (train) loss 0.0021 | (valid) loss 0.0020
[19/100] (train) loss 0.0020 | (valid) loss 0.0019
[20/100] (train) loss 0.0019 | (valid) loss 0.0018
[21/100] (train) loss 0.0018 | (valid) loss 0.0017
[22/100] (train) loss 0.0017 | (valid) loss 0.0016
[23/100] (train) loss 0.0016 | (valid) loss 0.0015
[24/100] (train) loss 0.0015 | (valid) loss 0.0015
[25/100] (train) loss 0.0014 | (valid) loss 0.0014
[26/100] (train) loss 0.0014 | (valid) loss 0.0014
[27/100] (train) loss 0.0014 | (valid) loss 0.0014
[28/100] (train) loss 0.0013 | (valid) loss 0.0013
[29/100] (train) loss 0.0013 | (valid) loss 0.0013
[30/100] (train) loss 0.0013 | (valid) loss 0.0013
[31/100] (train) loss 0.0013 | (valid) loss 0.0012
[32/100] (train) loss 0.0012 | (valid) loss 0.0012
[33/100] (train) loss 0.0012 | (valid) loss 0.0012
[34/100] (train) loss 0.0012 | (valid) loss 0.0012
[35/100] (train) loss 0.0012 | (valid) loss 0.0012
[36/100] (train) loss 0.0011 | (valid) loss 0.0011
[37/100] (train) loss 0.0011 | (valid) loss 0.0011
[38/100] (train) loss 0.0011 | (valid) loss 0.0011
[39/100] (train) loss 0.0011 | (valid) loss 0.0011
[40/100] (train) loss 0.0011 | (valid) loss 0.0011
[41/100] (train) loss 0.0011 | (valid) loss 0.0010
[42/100] (train) loss 0.0010 | (valid) loss 0.0010
[43/100] (train) loss 0.0010 | (valid) loss 0.0010
[44/100] (train) loss 0.0010 | (valid) loss 0.0010
[45/100] (train) loss 0.0010 | (valid) loss 0.0010
[46/100] (train) loss 0.0010 | (valid) loss 0.0010
[47/100] (train) loss 0.0010 | (valid) loss 0.0009
[48/100] (train) loss 0.0009 | (valid) loss 0.0009
[49/100] (train) loss 0.0009 | (valid) loss 0.0009
[50/100] (train) loss 0.0009 | (valid) loss 0.0009
[51/100] (train) loss 0.0009 | (valid) loss 0.0009
[52/100] (train) loss 0.0009 | (valid) loss 0.0009
[53/100] (train) loss 0.0009 | (valid) loss 0.0009
[54/100] (train) loss 0.0009 | (valid) loss 0.0009
[55/100] (train) loss 0.0009 | (valid) loss 0.0009
[56/100] (train) loss 0.0009 | (valid) loss 0.0009
[57/100] (train) loss 0.0009 | (valid) loss 0.0009
[58/100] (train) loss 0.0009 | (valid) loss 0.0009
[59/100] (train) loss 0.0009 | (valid) loss 0.0009
[60/100] (train) loss 0.0008 | (valid) loss 0.0008
[61/100] (train) loss 0.0008 | (valid) loss 0.0008
[62/100] (train) loss 0.0008 | (valid) loss 0.0008
[63/100] (train) loss 0.0008 | (valid) loss 0.0008
[64/100] (train) loss 0.0008 | (valid) loss 0.0008
[65/100] (train) loss 0.0008 | (valid) loss 0.0008
[66/100] (train) loss 0.0008 | (valid) loss 0.0008
[67/100] (train) loss 0.0008 | (valid) loss 0.0008
[68/100] (train) loss 0.0008 | (valid) loss 0.0008
[69/100] (train) loss 0.0008 | (valid) loss 0.0008
[70/100] (train) loss 0.0008 | (valid) loss 0.0008
[71/100] (train) loss 0.0008 | (valid) loss 0.0008
[72/100] (train) loss 0.0008 | (valid) loss 0.0008
[73/100] (train) loss 0.0008 | (valid) loss 0.0008
[74/100] (train) loss 0.0008 | (valid) loss 0.0008
[75/100] (train) loss 0.0008 | (valid) loss 0.0008
[76/100] (train) loss 0.0008 | (valid) loss 0.0008
[77/100] (train) loss 0.0008 | (valid) loss 0.0008
[78/100] (train) loss 0.0008 | (valid) loss 0.0008
[79/100] (train) loss 0.0008 | (valid) loss 0.0008
[80/100] (train) loss 0.0008 | (valid) loss 0.0008
[81/100] (train) loss 0.0008 | (valid) loss 0.0008
[82/100] (train) loss 0.0008 | (valid) loss 0.0008
