Namespace(ANNEAL=0.5, BATCH=32, EMBED=20, EMPTY_CUDA_MEMORY=False, ENC_METHOD='pe', FIX_STORY=50, LR=0.01, LS=False, PRINT_EVERY=1, ROOT='./data/QA_bAbI_tasks/en-valid-10k/', SAVE_BEST=True, SAVE_MODEL=True, SAVE_PATH='./saved_models/rnnlike/pe_te/task1.model', STEP=100, TASK=1, TEMPROAL=True, THRES=5, USE_CUDA=True, W_STYLE='rnnlike')
----------------------------------------
[1/100] (train) loss 56.9392 | (valid) loss 45.9701
[2/100] (train) loss 27.6538 | (valid) loss 1.5901
[3/100] (train) loss 1.0099 | (valid) loss 0.0723
[4/100] (train) loss 0.0527 | (valid) loss 0.0343
[5/100] (train) loss 0.0290 | (valid) loss 0.0225
[6/100] (train) loss 0.0200 | (valid) loss 0.0166
[7/100] (train) loss 0.0152 | (valid) loss 0.0131
[8/100] (train) loss 0.0122 | (valid) loss 0.0108
[9/100] (train) loss 0.0101 | (valid) loss 0.0091
[10/100] (train) loss 0.0086 | (valid) loss 0.0079
[11/100] (train) loss 0.0075 | (valid) loss 0.0069
[12/100] (train) loss 0.0066 | (valid) loss 0.0061
[13/100] (train) loss 0.0059 | (valid) loss 0.0055
[14/100] (train) loss 0.0053 | (valid) loss 0.0050
[15/100] (train) loss 0.0049 | (valid) loss 0.0046
[16/100] (train) loss 0.0045 | (valid) loss 0.0042
[17/100] (train) loss 0.0041 | (valid) loss 0.0039
[18/100] (train) loss 0.0038 | (valid) loss 0.0036
[19/100] (train) loss 0.0036 | (valid) loss 0.0034
[20/100] (train) loss 0.0033 | (valid) loss 0.0032
[21/100] (train) loss 0.0031 | (valid) loss 0.0030
[22/100] (train) loss 0.0030 | (valid) loss 0.0028
[23/100] (train) loss 0.0028 | (valid) loss 0.0027
[24/100] (train) loss 0.0026 | (valid) loss 0.0026
[25/100] (train) loss 0.0025 | (valid) loss 0.0024
[26/100] (train) loss 0.0024 | (valid) loss 0.0024
[27/100] (train) loss 0.0024 | (valid) loss 0.0023
[28/100] (train) loss 0.0023 | (valid) loss 0.0023
[29/100] (train) loss 0.0022 | (valid) loss 0.0022
[30/100] (train) loss 0.0022 | (valid) loss 0.0022
[31/100] (train) loss 0.0021 | (valid) loss 0.0021
[32/100] (train) loss 0.0021 | (valid) loss 0.0021
[33/100] (train) loss 0.0021 | (valid) loss 0.0020
[34/100] (train) loss 0.0020 | (valid) loss 0.0020
[35/100] (train) loss 0.0020 | (valid) loss 0.0019
[36/100] (train) loss 0.0019 | (valid) loss 0.0019
[37/100] (train) loss 0.0019 | (valid) loss 0.0019
[38/100] (train) loss 0.0019 | (valid) loss 0.0018
[39/100] (train) loss 0.0018 | (valid) loss 0.0018
[40/100] (train) loss 0.0018 | (valid) loss 0.0018
[41/100] (train) loss 0.0018 | (valid) loss 0.0017
[42/100] (train) loss 0.0017 | (valid) loss 0.0017
[43/100] (train) loss 0.0017 | (valid) loss 0.0017
[44/100] (train) loss 0.0017 | (valid) loss 0.0016
[45/100] (train) loss 0.0016 | (valid) loss 0.0016
[46/100] (train) loss 0.0016 | (valid) loss 0.0016
[47/100] (train) loss 0.0016 | (valid) loss 0.0016
[48/100] (train) loss 0.0016 | (valid) loss 0.0015
[49/100] (train) loss 0.0015 | (valid) loss 0.0015
[50/100] (train) loss 0.0015 | (valid) loss 0.0015
[51/100] (train) loss 0.0015 | (valid) loss 0.0015
[52/100] (train) loss 0.0015 | (valid) loss 0.0015
[53/100] (train) loss 0.0015 | (valid) loss 0.0015
[54/100] (train) loss 0.0015 | (valid) loss 0.0014
[55/100] (train) loss 0.0014 | (valid) loss 0.0014
[56/100] (train) loss 0.0014 | (valid) loss 0.0014
[57/100] (train) loss 0.0014 | (valid) loss 0.0014
[58/100] (train) loss 0.0014 | (valid) loss 0.0014
[59/100] (train) loss 0.0014 | (valid) loss 0.0014
[60/100] (train) loss 0.0014 | (valid) loss 0.0014
[61/100] (train) loss 0.0014 | (valid) loss 0.0014
[62/100] (train) loss 0.0014 | (valid) loss 0.0014
[63/100] (train) loss 0.0014 | (valid) loss 0.0014
[64/100] (train) loss 0.0013 | (valid) loss 0.0013
[65/100] (train) loss 0.0013 | (valid) loss 0.0013
[66/100] (train) loss 0.0013 | (valid) loss 0.0013
[67/100] (train) loss 0.0013 | (valid) loss 0.0013
[68/100] (train) loss 0.0013 | (valid) loss 0.0013
[69/100] (train) loss 0.0013 | (valid) loss 0.0013
[70/100] (train) loss 0.0013 | (valid) loss 0.0013
[71/100] (train) loss 0.0013 | (valid) loss 0.0013
[72/100] (train) loss 0.0013 | (valid) loss 0.0013
[73/100] (train) loss 0.0013 | (valid) loss 0.0013
[74/100] (train) loss 0.0013 | (valid) loss 0.0013
[75/100] (train) loss 0.0012 | (valid) loss 0.0012
[76/100] (train) loss 0.0012 | (valid) loss 0.0012
[77/100] (train) loss 0.0012 | (valid) loss 0.0012
[78/100] (train) loss 0.0012 | (valid) loss 0.0012
[79/100] (train) loss 0.0012 | (valid) loss 0.0012
[80/100] (train) loss 0.0012 | (valid) loss 0.0012
[81/100] (train) loss 0.0012 | (valid) loss 0.0012
[82/100] (train) loss 0.0012 | (valid) loss 0.0012
[83/100] (train) loss 0.0012 | (valid) loss 0.0012
[84/100] (train) loss 0.0012 | (valid) loss 0.0012
[85/100] (train) loss 0.0012 | (valid) loss 0.0012
[86/100] (train) loss 0.0012 | (valid) loss 0.0012
[87/100] (train) loss 0.0012 | (valid) loss 0.0012
[88/100] (train) loss 0.0012 | (valid) loss 0.0012
[89/100] (train) loss 0.0012 | (valid) loss 0.0012
[90/100] (train) loss 0.0012 | (valid) loss 0.0012
[91/100] (train) loss 0.0012 | (valid) loss 0.0012
[92/100] (train) loss 0.0012 | (valid) loss 0.0012
[93/100] (train) loss 0.0012 | (valid) loss 0.0012
[94/100] (train) loss 0.0012 | (valid) loss 0.0012
[95/100] (train) loss 0.0012 | (valid) loss 0.0012
[96/100] (train) loss 0.0012 | (valid) loss 0.0012
[97/100] (train) loss 0.0012 | (valid) loss 0.0012
[98/100] (train) loss 0.0012 | (valid) loss 0.0012
[99/100] (train) loss 0.0012 | (valid) loss 0.0012
[100/100] (train) loss 0.0012 | (valid) loss 0.0011

Training Excution time with validation: 0 h 8 m 43.3945 s
