Namespace(ANNEAL=0.5, BATCH=32, EMBED=20, EMPTY_CUDA_MEMORY=False, ENC_METHOD='bow', FIX_STORY=50, LR=0.01, LS=False, PRINT_EVERY=1, ROOT='./data/QA_bAbI_tasks/en-valid-10k/', SAVE_BEST=True, SAVE_MODEL=True, SAVE_PATH='./saved_models/adjacent/bow/task18.model', STEP=100, TASK=18, TEMPROAL=False, THRES=5, USE_CUDA=True, W_STYLE='adjacent')
----------------------------------------
[1/100] (train) loss 25.5019 | (valid) loss 23.1497
[2/100] (train) loss 23.1067 | (valid) loss 23.2688
[3/100] (train) loss 22.8344 | (valid) loss 23.2368
[4/100] (train) loss 22.6941 | (valid) loss 23.1684
[5/100] (train) loss 22.6070 | (valid) loss 23.0847
[6/100] (train) loss 22.5436 | (valid) loss 22.9999
[7/100] (train) loss 22.4949 | (valid) loss 22.9239
[8/100] (train) loss 22.4571 | (valid) loss 22.8547
[9/100] (train) loss 22.4267 | (valid) loss 22.7903
[10/100] (train) loss 22.4015 | (valid) loss 22.7292
[11/100] (train) loss 22.3800 | (valid) loss 22.6719
[12/100] (train) loss 22.3614 | (valid) loss 22.6208
[13/100] (train) loss 22.3449 | (valid) loss 22.5790
[14/100] (train) loss 22.3299 | (valid) loss 22.5481
[15/100] (train) loss 22.3155 | (valid) loss 22.5275
[16/100] (train) loss 22.3015 | (valid) loss 22.5162
[17/100] (train) loss 22.2882 | (valid) loss 22.5138
[18/100] (train) loss 22.2766 | (valid) loss 22.5181
[19/100] (train) loss 22.2636 | (valid) loss 22.5236
[20/100] (train) loss 22.2523 | (valid) loss 22.5234
EARLY BREAK: valid loss goes over the patient number 5

Training Excution time with validation: 0 h 0 m 27.3710 s
