Namespace(ANNEAL=0.5, BATCH=32, EMBED=20, EMPTY_CUDA_MEMORY=False, ENC_METHOD='bow', FIX_STORY=50, LR=0.01, LS=False, PRINT_EVERY=1, ROOT='./data/QA_bAbI_tasks/en-valid-10k/', SAVE_BEST=True, SAVE_MODEL=True, SAVE_PATH='./saved_models/adjacent/bow/task12.model', STEP=100, TASK=12, TEMPROAL=False, THRES=5, USE_CUDA=True, W_STYLE='adjacent')
----------------------------------------
[1/100] (train) loss 49.6581 | (valid) loss 37.8918
[2/100] (train) loss 36.6395 | (valid) loss 36.7290
[3/100] (train) loss 34.6521 | (valid) loss 35.3758
[4/100] (train) loss 33.9522 | (valid) loss 34.6632
[5/100] (train) loss 33.6096 | (valid) loss 34.4290
[6/100] (train) loss 33.3946 | (valid) loss 34.3554
[7/100] (train) loss 33.2288 | (valid) loss 34.3048
[8/100] (train) loss 33.1146 | (valid) loss 34.1291
[9/100] (train) loss 33.0412 | (valid) loss 33.9944
[10/100] (train) loss 32.9942 | (valid) loss 33.9185
[11/100] (train) loss 32.9624 | (valid) loss 33.8772
[12/100] (train) loss 32.9411 | (valid) loss 33.7859
[13/100] (train) loss 32.9178 | (valid) loss 33.7297
[14/100] (train) loss 32.9048 | (valid) loss 33.8044
[15/100] (train) loss 32.8943 | (valid) loss 33.9040
[16/100] (train) loss 32.8797 | (valid) loss 33.9919
[17/100] (train) loss 32.8739 | (valid) loss 34.0349
[18/100] (train) loss 32.8739 | (valid) loss 34.0463
[19/100] (train) loss 32.8734 | (valid) loss 34.0620
EARLY BREAK: valid loss goes over the patient number 5

Training Excution time with validation: 0 h 0 m 25.7835 s
