Namespace(ANNEAL=0.5, BATCH=32, EMBED=20, EMPTY_CUDA_MEMORY=False, ENC_METHOD='bow', FIX_STORY=50, LR=0.01, LS=False, PRINT_EVERY=1, ROOT='./data/QA_bAbI_tasks/en-valid-10k/', SAVE_BEST=True, SAVE_MODEL=True, SAVE_PATH='./saved_models/adjacent/bow/task15.model', STEP=100, TASK=15, TEMPROAL=False, THRES=5, USE_CUDA=True, W_STYLE='adjacent')
----------------------------------------
[1/100] (train) loss 42.7216 | (valid) loss 35.7138
[2/100] (train) loss 33.1405 | (valid) loss 23.5580
[3/100] (train) loss 3.9123 | (valid) loss 0.0502
[4/100] (train) loss 0.0318 | (valid) loss 0.0211
[5/100] (train) loss 0.0165 | (valid) loss 0.0131
[6/100] (train) loss 0.0111 | (valid) loss 0.0094
[7/100] (train) loss 0.0083 | (valid) loss 0.0074
[8/100] (train) loss 0.0066 | (valid) loss 0.0060
[9/100] (train) loss 0.0055 | (valid) loss 0.0051
[10/100] (train) loss 0.0047 | (valid) loss 0.0044
[11/100] (train) loss 0.0041 | (valid) loss 0.0038
[12/100] (train) loss 0.0036 | (valid) loss 0.0034
[13/100] (train) loss 0.0032 | (valid) loss 0.0031
[14/100] (train) loss 0.0029 | (valid) loss 0.0028
[15/100] (train) loss 0.0027 | (valid) loss 0.0026
[16/100] (train) loss 0.0025 | (valid) loss 0.0024
[17/100] (train) loss 0.0023 | (valid) loss 0.0022
[18/100] (train) loss 0.0021 | (valid) loss 0.0021
[19/100] (train) loss 0.0020 | (valid) loss 0.0019
[20/100] (train) loss 0.0019 | (valid) loss 0.0018
[21/100] (train) loss 0.0018 | (valid) loss 0.0017
[22/100] (train) loss 0.0017 | (valid) loss 0.0016
[23/100] (train) loss 0.0016 | (valid) loss 0.0015
[24/100] (train) loss 0.0015 | (valid) loss 0.0015
[25/100] (train) loss 0.0014 | (valid) loss 0.0014
[26/100] (train) loss 0.0014 | (valid) loss 0.0014
[27/100] (train) loss 0.0013 | (valid) loss 0.0013
[28/100] (train) loss 0.0013 | (valid) loss 0.0013
[29/100] (train) loss 0.0013 | (valid) loss 0.0013
[30/100] (train) loss 0.0013 | (valid) loss 0.0012
[31/100] (train) loss 0.0012 | (valid) loss 0.0012
[32/100] (train) loss 0.0012 | (valid) loss 0.0012
