Namespace(ANNEAL=0.5, BATCH=32, EMBED=20, EMPTY_CUDA_MEMORY=False, ENC_METHOD='bow', FIX_STORY=50, LR=0.01, LS=False, PRINT_EVERY=1, ROOT='./data/QA_bAbI_tasks/en-valid-10k/', SAVE_BEST=True, SAVE_MODEL=True, SAVE_PATH='./saved_models/adjacent/bow/task9.model', STEP=100, TASK=9, TEMPROAL=False, THRES=5, USE_CUDA=True, W_STYLE='adjacent')
----------------------------------------
[1/100] (train) loss 23.3070 | (valid) loss 20.7960
[2/100] (train) loss 20.6934 | (valid) loss 19.7848
[3/100] (train) loss 18.9803 | (valid) loss 17.5911
[4/100] (train) loss 16.8066 | (valid) loss 16.1509
[5/100] (train) loss 15.6599 | (valid) loss 15.4303
[6/100] (train) loss 14.7454 | (valid) loss 13.9347
[7/100] (train) loss 13.7505 | (valid) loss 12.6383
[8/100] (train) loss 12.6934 | (valid) loss 11.4438
[9/100] (train) loss 11.6314 | (valid) loss 10.4452
[10/100] (train) loss 10.8295 | (valid) loss 9.9608
[11/100] (train) loss 10.3331 | (valid) loss 9.4988
[12/100] (train) loss 9.9991 | (valid) loss 9.3697
[13/100] (train) loss 9.7439 | (valid) loss 9.2320
[14/100] (train) loss 9.5414 | (valid) loss 8.9993
[15/100] (train) loss 9.3644 | (valid) loss 8.7673
[16/100] (train) loss 9.2155 | (valid) loss 8.6740
[17/100] (train) loss 9.1218 | (valid) loss 9.0854
[18/100] (train) loss 9.0179 | (valid) loss 9.3190
[19/100] (train) loss 8.9567 | (valid) loss 9.1450
[20/100] (train) loss 8.9038 | (valid) loss 9.1613
[21/100] (train) loss 8.8592 | (valid) loss 8.6377
[22/100] (train) loss 8.7535 | (valid) loss 8.7420
[23/100] (train) loss 8.6041 | (valid) loss 8.3451
[24/100] (train) loss 8.5819 | (valid) loss 8.2023
[25/100] (train) loss 8.4231 | (valid) loss 7.8532
[26/100] (train) loss 7.6259 | (valid) loss 7.9717
EARLY BREAK: valid loss goes over the patient number 5

Training Excution time with validation: 0 h 0 m 34.9387 s
